company_id,invoice_amount,due_date,status,notes
co_300,2400,2026-05-10,paid,cleared
co_301,5800,2026-06-11,unpaid,payment_dispute
co_302,9200,2026-07-12,unpaid,awaiting_po_number
co_303,14500,2026-08-13,unpaid,budget_freeze
co_304,23000,2026-05-14,unpaid,net_terms_exceeded
co_305,41000,2026-06-15,unpaid,payment_dispute
co_306,82000,2026-07-16,paid,cleared
co_307,2400,2026-08-17,unpaid,budget_freeze
co_308,5800,2026-05-18,unpaid,net_terms_exceeded
co_309,9200,2026-06-19,unpaid,payment_dispute
co_310,14500,2026-07-20,unpaid,awaiting_po_number
co_311,23000,2026-08-21,unpaid,budget_freeze
co_312,41000,2026-05-22,paid,cleared
co_313,82000,2026-06-23,unpaid,payment_dispute
co_314,2400,2026-07-24,unpaid,awaiting_po_number
co_315,5800,2026-08-10,unpaid,budget_freeze
co_316,9200,2026-05-11,unpaid,net_terms_exceeded
co_317,14500,2026-06-12,unpaid,payment_dispute
co_318,23000,2026-07-13,paid,cleared
co_319,41000,2026-08-14,unpaid,budget_freeze
co_320,82000,2026-05-15,unpaid,net_terms_exceeded
co_321,2400,2026-06-16,unpaid,payment_dispute
