shopper_id,cart_total,attempted_at,result,error_code
shopper_9000,15.99,2026-08-02T09:15:00,completed,
shopper_9001,24.5,2026-08-03T10:15:00,failed,gateway_timeout
shopper_9002,39.0,2026-08-04T11:15:00,failed,3ds_failed
shopper_9003,58.75,2026-08-05T12:15:00,failed,insufficient_funds
shopper_9004,89.99,2026-08-06T13:15:00,completed,
shopper_9005,129.0,2026-08-07T14:15:00,failed,network_error
shopper_9006,199.95,2026-08-08T15:15:00,failed,gateway_timeout
shopper_9007,349.0,2026-08-09T16:15:00,failed,3ds_failed
shopper_9008,15.99,2026-08-10T17:15:00,completed,
shopper_9009,24.5,2026-08-11T18:15:00,failed,card_declined
shopper_9010,39.0,2026-08-12T19:15:00,failed,network_error
shopper_9011,58.75,2026-08-13T20:15:00,failed,gateway_timeout
shopper_9012,89.99,2026-08-14T09:15:00,completed,
shopper_9013,129.0,2026-08-15T10:15:00,failed,insufficient_funds
shopper_9014,199.95,2026-08-16T11:15:00,failed,card_declined
shopper_9015,349.0,2026-08-17T12:15:00,failed,network_error
shopper_9016,15.99,2026-08-18T13:15:00,completed,
shopper_9017,24.5,2026-08-19T14:15:00,failed,3ds_failed
shopper_9018,39.0,2026-08-20T15:15:00,failed,insufficient_funds
shopper_9019,58.75,2026-08-21T16:15:00,failed,card_declined
shopper_9020,89.99,2026-08-22T17:15:00,completed,
shopper_9021,129.0,2026-08-23T18:15:00,failed,gateway_timeout
shopper_9022,199.95,2026-08-24T19:15:00,failed,3ds_failed
shopper_9023,349.0,2026-08-25T20:15:00,failed,insufficient_funds
shopper_9024,15.99,2026-08-26T09:15:00,completed,
shopper_9025,24.5,2026-08-27T10:15:00,failed,network_error
shopper_9026,39.0,2026-08-28T11:15:00,failed,gateway_timeout
shopper_9027,58.75,2026-08-02T12:15:00,failed,3ds_failed
shopper_9028,89.99,2026-08-03T13:15:00,completed,
shopper_9029,129.0,2026-08-04T14:15:00,failed,card_declined
shopper_9030,199.95,2026-08-05T15:15:00,failed,network_error
shopper_9031,349.0,2026-08-06T16:15:00,failed,gateway_timeout
