seller_id,payout_amount,run_date,settlement,reason
seller_5500,50,2026-08-03,paid,
seller_5501,180,2026-08-04,returned,account_closed
seller_5502,420,2026-08-05,returned,invalid_account_number
seller_5503,950,2026-08-06,returned,name_mismatch
seller_5504,1800,2026-08-07,returned,insufficient_funds
seller_5505,3600,2026-08-08,paid,
seller_5506,9800,2026-08-09,returned,account_closed
seller_5507,50,2026-08-10,returned,invalid_account_number
seller_5508,180,2026-08-11,returned,name_mismatch
seller_5509,420,2026-08-12,returned,insufficient_funds
seller_5510,950,2026-08-13,paid,
seller_5511,1800,2026-08-14,returned,account_closed
seller_5512,3600,2026-08-15,returned,invalid_account_number
seller_5513,9800,2026-08-16,returned,name_mismatch
seller_5514,50,2026-08-17,returned,insufficient_funds
seller_5515,180,2026-08-18,paid,
seller_5516,420,2026-08-19,returned,account_closed
seller_5517,950,2026-08-20,returned,invalid_account_number
seller_5518,1800,2026-08-21,returned,name_mismatch
seller_5519,3600,2026-08-22,returned,insufficient_funds
seller_5520,9800,2026-08-23,paid,
seller_5521,50,2026-08-24,returned,account_closed
seller_5522,180,2026-08-25,returned,invalid_account_number
seller_5523,420,2026-08-26,returned,name_mismatch
seller_5524,950,2026-08-27,returned,insufficient_funds
seller_5525,1800,2026-08-28,paid,
seller_5526,3600,2026-08-03,returned,account_closed
seller_5527,9800,2026-08-04,returned,invalid_account_number
