user_id,price_usd,txn_time,outcome,failure_code
user_70000,0.99,2026-08-01T00:00:00,success,
user_70001,2.99,2026-08-02T01:07:00,failed,insufficient_funds
user_70002,4.99,2026-08-03T02:14:00,failed,expired_card
user_70003,9.99,2026-08-04T03:21:00,success,
user_70004,19.99,2026-08-05T04:28:00,failed,card_declined
user_70005,49.99,2026-08-06T05:35:00,failed,insufficient_funds
user_70006,99.99,2026-08-07T06:42:00,success,
user_70007,0.99,2026-08-08T07:49:00,failed,do_not_honor
user_70008,2.99,2026-08-09T08:56:00,failed,card_declined
user_70009,4.99,2026-08-10T09:03:00,success,
user_70010,9.99,2026-08-11T10:10:00,failed,expired_card
user_70011,19.99,2026-08-12T11:17:00,failed,do_not_honor
user_70012,49.99,2026-08-13T12:24:00,success,
user_70013,99.99,2026-08-14T13:31:00,failed,insufficient_funds
user_70014,0.99,2026-08-15T14:38:00,failed,expired_card
user_70015,2.99,2026-08-16T15:45:00,success,
user_70016,4.99,2026-08-17T16:52:00,failed,card_declined
user_70017,9.99,2026-08-18T17:59:00,failed,insufficient_funds
user_70018,19.99,2026-08-19T18:06:00,success,
user_70019,49.99,2026-08-20T19:13:00,failed,do_not_honor
user_70020,99.99,2026-08-21T20:20:00,failed,card_declined
user_70021,0.99,2026-08-22T21:27:00,success,
user_70022,2.99,2026-08-23T22:34:00,failed,expired_card
user_70023,4.99,2026-08-24T00:41:00,failed,do_not_honor
user_70024,9.99,2026-08-25T01:48:00,success,
user_70025,19.99,2026-08-26T02:55:00,failed,insufficient_funds
user_70026,49.99,2026-08-27T03:02:00,failed,expired_card
user_70027,99.99,2026-08-28T04:09:00,success,
user_70028,0.99,2026-08-29T05:16:00,failed,card_declined
user_70029,2.99,2026-08-01T06:23:00,failed,insufficient_funds
user_70030,4.99,2026-08-02T07:30:00,success,
user_70031,9.99,2026-08-03T08:37:00,failed,do_not_honor
user_70032,19.99,2026-08-04T09:44:00,failed,card_declined
user_70033,49.99,2026-08-05T10:51:00,success,
user_70034,99.99,2026-08-06T11:58:00,failed,expired_card
user_70035,0.99,2026-08-07T12:05:00,failed,do_not_honor
