account_id,mrr_amount,billing_date,payment_status,decline_reason
acct_4100,29,2026-08-01,paid,
acct_4101,49,2026-08-02,failed,expired_card
acct_4102,99,2026-08-03,failed,card_declined
acct_4103,149,2026-08-04,failed,do_not_honor
acct_4104,199,2026-08-05,failed,insufficient_funds
acct_4105,299,2026-08-06,paid,
acct_4106,499,2026-08-07,failed,card_declined
acct_4107,29,2026-08-08,failed,do_not_honor
acct_4108,49,2026-08-09,failed,insufficient_funds
acct_4109,99,2026-08-10,failed,expired_card
acct_4110,149,2026-08-11,paid,
acct_4111,199,2026-08-12,failed,do_not_honor
acct_4112,299,2026-08-13,failed,insufficient_funds
acct_4113,499,2026-08-14,failed,expired_card
acct_4114,29,2026-08-15,failed,card_declined
acct_4115,49,2026-08-16,paid,
acct_4116,99,2026-08-17,failed,insufficient_funds
acct_4117,149,2026-08-18,failed,expired_card
acct_4118,199,2026-08-19,failed,card_declined
acct_4119,299,2026-08-20,failed,do_not_honor
acct_4120,499,2026-08-21,paid,
acct_4121,29,2026-08-22,failed,expired_card
acct_4122,49,2026-08-23,failed,card_declined
acct_4123,99,2026-08-24,failed,do_not_honor
acct_4124,149,2026-08-25,failed,insufficient_funds
acct_4125,199,2026-08-26,paid,
acct_4126,299,2026-08-27,failed,card_declined
acct_4127,499,2026-08-28,failed,do_not_honor
acct_4128,29,2026-08-01,failed,insufficient_funds
acct_4129,49,2026-08-02,failed,expired_card
