subscriber_id,bill_amount,cycle_date,paid_status,prior_failures,days_overdue,decline_reason
sub_20000,399,2026-08-01,paid,0,0,
sub_20001,499,2026-08-02,paid,1,7,
sub_20002,599,2026-08-03,paid,2,14,
sub_20003,799,2026-08-04,failed,3,21,insufficient_funds
sub_20004,999,2026-08-05,failed,4,28,insufficient_funds
sub_20005,1299,2026-08-06,paid,0,35,
sub_20006,399,2026-08-07,failed,1,42,insufficient_funds
sub_20007,499,2026-08-08,paid,2,4,
sub_20008,599,2026-08-09,failed,3,11,insufficient_funds
sub_20009,799,2026-08-10,failed,4,18,insufficient_funds
sub_20010,999,2026-08-11,paid,0,25,
sub_20011,1299,2026-08-12,paid,1,32,
sub_20012,399,2026-08-13,failed,2,39,insufficient_funds
sub_20013,499,2026-08-14,failed,3,1,insufficient_funds
sub_20014,599,2026-08-15,failed,4,8,insufficient_funds
sub_20015,799,2026-08-16,paid,0,15,
sub_20016,999,2026-08-17,paid,1,22,
sub_20017,1299,2026-08-18,failed,2,29,insufficient_funds
sub_20018,399,2026-08-19,failed,3,36,insufficient_funds
sub_20019,499,2026-08-20,failed,4,43,insufficient_funds
sub_20020,599,2026-08-21,paid,0,5,
sub_20021,799,2026-08-22,paid,1,12,
sub_20022,999,2026-08-23,failed,2,19,insufficient_funds
sub_20023,1299,2026-08-24,failed,3,26,insufficient_funds
sub_20024,399,2026-08-25,failed,4,33,insufficient_funds
sub_20025,499,2026-08-26,paid,0,40,
sub_20026,599,2026-08-27,paid,1,2,
sub_20027,799,2026-08-28,paid,2,9,
sub_20028,999,2026-08-01,failed,3,16,insufficient_funds
sub_20029,1299,2026-08-02,failed,4,23,insufficient_funds
sub_20030,399,2026-08-03,paid,0,30,
sub_20031,499,2026-08-04,paid,1,37,
sub_20032,599,2026-08-05,failed,2,44,insufficient_funds
sub_20033,799,2026-08-06,failed,3,6,insufficient_funds
sub_20034,999,2026-08-07,failed,4,13,insufficient_funds
sub_20035,1299,2026-08-08,paid,0,20,
sub_20036,399,2026-08-09,paid,1,27,
sub_20037,499,2026-08-10,failed,2,34,insufficient_funds
sub_20038,599,2026-08-11,failed,3,41,insufficient_funds
sub_20039,799,2026-08-12,failed,4,3,insufficient_funds
sub_20040,999,2026-08-13,paid,0,10,
sub_20041,1299,2026-08-14,paid,1,17,
sub_20042,399,2026-08-15,failed,2,24,insufficient_funds
sub_20043,499,2026-08-16,failed,3,31,insufficient_funds
sub_20044,599,2026-08-17,failed,4,38,insufficient_funds
sub_20045,799,2026-08-18,paid,0,0,
sub_20046,999,2026-08-19,paid,1,7,
sub_20047,1299,2026-08-20,paid,2,14,
sub_20048,399,2026-08-21,failed,3,21,insufficient_funds
sub_20049,499,2026-08-22,failed,4,28,insufficient_funds
sub_20050,599,2026-08-23,paid,0,35,
sub_20051,799,2026-08-24,failed,1,42,insufficient_funds
sub_20052,999,2026-08-25,paid,2,4,
sub_20053,1299,2026-08-26,failed,3,11,insufficient_funds
sub_20054,399,2026-08-27,failed,4,18,insufficient_funds
sub_20055,499,2026-08-28,paid,0,25,
sub_20056,599,2026-08-01,paid,1,32,
sub_20057,799,2026-08-02,failed,2,39,insufficient_funds
sub_20058,999,2026-08-03,failed,3,1,insufficient_funds
sub_20059,1299,2026-08-04,failed,4,8,insufficient_funds
sub_20060,399,2026-08-05,paid,0,15,
sub_20061,499,2026-08-06,paid,1,22,
sub_20062,599,2026-08-07,failed,2,29,insufficient_funds
sub_20063,799,2026-08-08,failed,3,36,insufficient_funds
sub_20064,999,2026-08-09,failed,4,43,insufficient_funds
sub_20065,1299,2026-08-10,paid,0,5,
sub_20066,399,2026-08-11,paid,1,12,
sub_20067,499,2026-08-12,failed,2,19,insufficient_funds
sub_20068,599,2026-08-13,failed,3,26,insufficient_funds
sub_20069,799,2026-08-14,failed,4,33,insufficient_funds
sub_20070,999,2026-08-15,paid,0,40,
sub_20071,1299,2026-08-16,paid,1,2,
sub_20072,399,2026-08-17,paid,2,9,
sub_20073,499,2026-08-18,failed,3,16,insufficient_funds
sub_20074,599,2026-08-19,failed,4,23,insufficient_funds
